[2018-11-24 14:30:47] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-11-24 14:32:56] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-11-24 14:33:03] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-11-25 03:27:02] erhan.ERROR: ошибка: Undefined property: vendor\hmd\core\base\View::$stylefile, файл: D:\WebWorksPHP\hmdoll.ru\app\views\layouts\default.php, строка: 17 [] []
[2018-11-25 03:29:06] erhan.ERROR: ошибка: Undefined property: vendor\hmd\core\base\View::$stylefile, файл: D:\WebWorksPHP\hmdoll.ru\app\views\layouts\default.php, строка: 18 [] []
[2018-11-25 03:31:24] erhan.ERROR: ошибка: include_once(D:\WebWorksPHP\hmdoll.ru\public/inc/mainstyle.inc): failed to open stream: No such file or directory, файл: D:\WebWorksPHP\hmdoll.ru\app\views\layouts\default.php, строка: 21 [] []
[2018-11-25 04:46:00] erhan.ERROR: ошибка: Call to undefined method vendor\hmd\core\base\View::cutStyle(), файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\base\View.php, строка: 85 [] []
[2018-11-25 06:39:24] erhan.ERROR: ошибка: syntax error, unexpected 'empty' (T_EMPTY), expecting '(', файл: D:\WebWorksPHP\hmdoll.ru\app\models\Main.php, строка: 84 [] []
[2018-11-26 03:19:27] erhan.ERROR: ошибка: Array to string conversion, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-11-26 03:21:48] erhan.ERROR: ошибка: Array to string conversion, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 93 [] []
[2018-11-26 03:25:23] erhan.ERROR: ошибка: Array to string conversion, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 93 [] []
[2018-11-28 11:16:19] erhan.ERROR: ошибка: Array to string conversion, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Main\howtopay.php, строка: 5 [] []
[2018-11-28 13:52:47] erhan.ERROR: ошибка: Метод <b>app\controllers\MainController::patternsAction</b> не найден, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\core\Router.php, строка: 97 [] []
[2018-11-28 13:55:32] erhan.ERROR: ошибка: Class 'R' not found, файл: D:\WebWorksPHP\hmdoll.ru\vendor\hmd\widgets\menu\Menu.php, строка: 92 [] []
[2018-11-28 15:47:56] erhan.ERROR: ошибка: Undefined index: header, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Main\items.php, строка: 8 [] []
[2018-11-28 15:48:53] erhan.ERROR: ошибка: Undefined index: header, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Main\items.php, строка: 8 [] []
[2018-11-28 15:51:47] erhan.ERROR: ошибка: Undefined index: description, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Main\items.php, строка: 9 [] []
[2018-11-28 15:56:14] erhan.ERROR: ошибка: Undefined offset: 0, файл: D:\WebWorksPHP\hmdoll.ru\app\views\Main\items.php, строка: 8 [] []
